salesperson_sk,salesperson_id,salesperson_name,salesperson_role
386,SP00386,Amber Parrish,Manager
388,SP00388,Raymond Lane,Sales Associate
389,SP00389,David Rich,Manager
391,SP00391,Michael Walker,Sales Associate
392,SP00392,Bryan Wade,Manager
393,SP00393,Elizabeth Smith,Manager
394,SP00394,Ethan Macias,Manager
395,SP00395,Christine Cook,Sales Associate
396,SP00396,Hannah Patton,Sales Associate
397,SP00397,Bobby Flynn,Sales Associate
398,SP00398,Kristen Mccormick,Sales Associate
400,SP00400,Timothy Fuentes,Salesperson
403,SP00403,Danielle Reilly,Senior Salesperson
405,SP00405,Penny Santiago,Manager
406,SP00406,Amy Chapman,Manager
407,SP00407,Eric Kim,Senior Salesperson
410,SP00410,Stacey Harris,Senior Salesperson
411,SP00411,Norman Casey,Salesperson
412,SP00412,Jaime Kelley,Manager
415,SP00415,Kimberly Gilbert,Manager
416,SP00416,Jerome Rosales,Senior Salesperson
418,SP00418,Kathleen Smith,Manager
419,SP00419,Nicholas Silva,Manager
420,SP00420,Kendra Richards,Manager
421,SP00421,David Skinner,Manager
422,SP00422,Spencer Young,Manager
425,SP00425,Chad Gomez,Manager
427,SP00427,Joseph Wilson,Manager
429,SP00429,Jessica Williams,Manager
430,SP00430,Janice Miller,Salesperson
434,SP00434,Jeffrey Hurst,Manager
435,SP00435,Timothy Reese,Senior Salesperson
436,SP00436,Isaac Sutton,Sales Associate
437,SP00437,Nicole Bradley,Manager
438,SP00438,Anthony Ruiz,Senior Salesperson
439,SP00439,Johnny Ortiz,Senior Salesperson
441,SP00441,Alison Mcdonald,Manager
442,SP00442,Jeffery White,Salesperson
447,SP00447,Courtney King,Salesperson
450,SP00450,Anthony Mercer,Manager
451,SP00451,Joann Smith,Manager
452,SP00452,Debbie Holmes,Manager
453,SP00453,Mark Berger,Manager
456,SP00456,Sarah Nelson,Manager
457,SP00457,Heather Edwards,Senior Salesperson
459,SP00459,Courtney James,Manager
460,SP00460,Rebecca Rose,Salesperson
461,SP00461,Stephanie Humphrey,Manager
462,SP00462,Jennifer Crawford,Salesperson
463,SP00463,Brandon Combs,Senior Salesperson
464,SP00464,Veronica Black,Sales Associate
466,SP00466,Christopher Duncan,Manager
469,SP00469,Rhonda Curry,Manager
472,SP00472,Gregory Johnson,Salesperson
473,SP00473,Robert Murphy,Salesperson
475,SP00475,Mitchell Hawkins,Salesperson
476,SP00476,Courtney Graham,Manager
477,SP00477,Toni Perez,Sales Associate
478,SP00478,Daniel Houston,Senior Salesperson
479,SP00479,Adam Walker,Salesperson
480,SP00480,Eric Wallace,Sales Associate
481,SP00481,Justin Ward,Salesperson
482,SP00482,Michael Manning,Manager
483,SP00483,Jason Smith,Manager
484,SP00484,Teresa Lyons,Manager
486,SP00486,Tara Walton,Salesperson
487,SP00487,Thomas Mckinney,Salesperson
488,SP00488,Tyrone Williams,Sales Associate
489,SP00489,Kaitlin Downs,Manager
490,SP00490,Timothy Vargas,Manager
492,SP00492,Megan Thompson,Manager
496,SP00496,Peter Moore,Sales Associate
497,SP00497,Kristin Davidson,Sales Associate
499,SP00499,Tonya Lin,Salesperson
501,SP00501,Jessica Robertson,Sales Associate
503,SP00503,Cynthia Martinez,Sales Associate
506,SP00506,Darryl Peck,Salesperson
507,SP00507,Erica Thompson,Manager
509,SP00509,Marcus Riley,Senior Salesperson
510,SP00510,Courtney Bean,Senior Salesperson
511,SP00511,Shannon Davis,Senior Salesperson
512,SP00512,Brandon Beltran,Manager
513,SP00513,Nicholas Miller,Senior Salesperson
514,SP00514,Javier Fuller,Manager
515,SP00515,Matthew Porter,Senior Salesperson
516,SP00516,Catherine Williams,Manager
517,SP00517,Eric Shaw,Manager
520,SP00520,James Joseph,Salesperson
521,SP00521,Darryl Williamson,Salesperson
522,SP00522,Wendy Davis,Senior Salesperson
523,SP00523,Donald Benson,Sales Associate
524,SP00524,Sarah Gibson,Senior Salesperson
526,SP00526,Derek Brown,Senior Salesperson
527,SP00527,Kelly Graham,Senior Salesperson
529,SP00529,Danny Reed,Sales Associate
531,SP00531,Dean Baker,Manager
534,SP00534,Christopher Black,Manager
536,SP00536,Hannah Burns,Manager
537,SP00537,Anthony Rodgers,Salesperson
538,SP00538,Charles Snyder,Senior Salesperson
539,SP00539,Todd Smith,Salesperson
540,SP00540,Tammy Curtis,Manager
541,SP00541,Gary James,Manager
542,SP00542,Anthony Garcia,Sales Associate
543,SP00543,Susan Rose,Senior Salesperson
546,SP00546,Jacqueline Fritz,Sales Associate
547,SP00547,Margaret Hebert,Manager
549,SP00549,David West,Sales Associate
550,SP00550,Jacob Holmes,Manager
553,SP00553,Brian Thomas,Manager
555,SP00555,Joshua Silva,Salesperson
556,SP00556,John Wolf,Senior Salesperson
557,SP00557,Debra Owen,Manager
558,SP00558,Whitney Carpenter,Manager
559,SP00559,Courtney Maddox,Manager
560,SP00560,Patrick Vargas,Salesperson
562,SP00562,Samuel Shepherd,Manager
563,SP00563,Amber Harrison,Sales Associate
565,SP00565,Joshua Ward,Manager
566,SP00566,Ashley Johnson,Salesperson
567,SP00567,Elizabeth Reynolds,Senior Salesperson
568,SP00568,Jerome Bean,Salesperson
569,SP00569,Brett Preston,Salesperson
570,SP00570,William Hawkins,Manager
571,SP00571,David Cox,Manager
573,SP00573,Paula Fuentes,Sales Associate
574,SP00574,Christine Brown,Sales Associate
576,SP00576,Noah Kidd,Senior Salesperson
580,SP00580,Leah Drake,Senior Salesperson
581,SP00581,Luke Allen,Sales Associate
583,SP00583,Makayla Johnston,Sales Associate
584,SP00584,Danielle White,Senior Salesperson
585,SP00585,Kenneth Hicks,Manager
586,SP00586,Jason Chaney,Manager
587,SP00587,Michael Williams,Manager
588,SP00588,Kelly Hobbs,Sales Associate
591,SP00591,Kathryn Atkinson,Sales Associate
594,SP00594,Heather Garcia,Manager
596,SP00596,Emily Harris,Salesperson
598,SP00598,Tony Alvarez,Manager
600,SP00600,Tiffany Jackson,Manager
601,SP00601,Mary Hawkins,Manager
603,SP00603,Kevin Mullins,Sales Associate
604,SP00604,Erin Espinoza,Senior Salesperson
605,SP00605,Dean Adams,Senior Salesperson
606,SP00606,Laura Ponce,Sales Associate
607,SP00607,Ryan Watson,Salesperson
608,SP00608,Jesus Hill,Sales Associate
609,SP00609,Manuel Jones,Sales Associate
610,SP00610,Richard Moore,Senior Salesperson
611,SP00611,Robert Cherry,Manager
612,SP00612,Ronald Roberts,Manager
613,SP00613,Lisa Fitzpatrick,Salesperson
615,SP00615,Tammy Watts,Sales Associate
616,SP00616,Anna Rivera,Manager
617,SP00617,Lee Lee,Salesperson
619,SP00619,Brian Chang,Sales Associate
620,SP00620,Desiree Reynolds,Manager
621,SP00621,Justin Norton,Manager
623,SP00623,Brian Hill,Salesperson
626,SP00626,Cynthia Nelson,Manager
627,SP00627,John Lambert,Salesperson
630,SP00630,Tracy Ramirez,Manager
634,SP00634,Jamie Simon,Sales Associate
635,SP00635,Gina Boyer,Senior Salesperson
636,SP00636,Veronica Jones,Manager
638,SP00638,Michael Johnson,Senior Salesperson
639,SP00639,Michael Bates,Sales Associate
642,SP00642,Jay Wong,Manager
643,SP00643,Stephanie Patton,Manager
645,SP00645,James Turner,Manager
648,SP00648,John Phillips,Manager
649,SP00649,Grant Freeman,Salesperson
651,SP00651,Richard Eaton,Manager
658,SP00658,Brandon Jordan,Senior Salesperson
659,SP00659,Shawn Turner,Manager
660,SP00660,Colleen Watkins,Manager
663,SP00663,Michael Warren,Salesperson
664,SP00664,Frances Martin,Salesperson
665,SP00665,Danielle Savage,Manager
667,SP00667,Alexander Nicholson,Manager
669,SP00669,Rebecca Myers,Senior Salesperson
670,SP00670,Megan Perez,Manager
671,SP00671,Mary Thompson,Manager
673,SP00673,Jorge Johnson,Sales Associate
674,SP00674,Jeffrey Lucero,Salesperson
678,SP00678,Karen Robertson,Sales Associate
679,SP00679,Danielle Prince,Manager
681,SP00681,Bryan Velasquez,Senior Salesperson
683,SP00683,Frank Mueller,Senior Salesperson
684,SP00684,Jermaine Williamson,Manager
686,SP00686,Tasha Winters,Salesperson
688,SP00688,Jessica Arnold,Sales Associate
690,SP00690,Lisa Gross,Manager
691,SP00691,Billy Pollard,Salesperson
692,SP00692,Adam Barnes,Senior Salesperson
693,SP00693,Johnny Reid,Sales Associate
694,SP00694,Jeffrey Briggs,Salesperson
695,SP00695,Ruth Sanchez,Senior Salesperson
697,SP00697,Michael Roberts,Salesperson
698,SP00698,Thomas Barnes,Manager
701,SP00701,Madison Hale,Salesperson
703,SP00703,Natalie Golden,Manager
704,SP00704,Alyssa Hernandez,Salesperson
706,SP00706,Mark English,Senior Salesperson
707,SP00707,Jeffrey Schultz,Manager
709,SP00709,Gina Sims,Senior Salesperson
710,SP00710,Stephanie Stevens,Sales Associate
713,SP00713,Joshua Love,Salesperson
714,SP00714,Dylan Griffin,Salesperson
716,SP00716,Teresa May,Senior Salesperson
717,SP00717,Madeline Johnson,Manager
718,SP00718,David Wells,Senior Salesperson
720,SP00720,Melissa Williams,Manager
721,SP00721,Roy Lane,Manager
722,SP00722,Steven Knapp,Salesperson
726,SP00726,Jennifer Hanson,Sales Associate
727,SP00727,Robert Anderson,Sales Associate
729,SP00729,Brenda Morris,Salesperson
731,SP00731,Ryan Evans,Manager
732,SP00732,Allen Nolan,Salesperson
733,SP00733,Jeanette May,Salesperson
735,SP00735,Ryan Yu,Senior Salesperson
736,SP00736,David Anderson,Sales Associate
741,SP00741,Kathleen Thomas,Senior Salesperson
742,SP00742,Aaron Clark,Manager
743,SP00743,Donald Leblanc,Sales Associate
745,SP00745,Tara Lamb,Manager
746,SP00746,Jennifer Roberson,Senior Salesperson
749,SP00749,Michelle Lucas,Manager
751,SP00751,Keith Smith,Manager
752,SP00752,Kristina Gonzalez,Salesperson
755,SP00755,Thomas Goodwin,Sales Associate
756,SP00756,Chad Patel,Sales Associate
758,SP00758,Scott Santana,Salesperson
759,SP00759,Nathan Richmond,Manager
760,SP00760,Andrea Conner,Manager
762,SP00762,Jill Hayes,Manager
763,SP00763,Carol Boyd,Manager
765,SP00765,Christy Cook,Manager
767,SP00767,Erica Riley,Sales Associate
768,SP00768,Bonnie Bowen,Salesperson
769,SP00769,Michele Chan,Manager
770,SP00770,Anna Hays,Salesperson
772,SP00772,Michelle Mcdaniel,Manager
774,SP00774,Alexander Flores,Salesperson
775,SP00775,Drew Marks,Salesperson
778,SP00778,Casey Gutierrez,Sales Associate
779,SP00779,Leah Cameron,Manager
782,SP00782,Mary Moore,Manager
783,SP00783,Rita Wheeler,Manager
786,SP00786,Chad Adkins,Manager
790,SP00790,Robert Wright,Sales Associate
791,SP00791,Cheryl Johnson,Manager
792,SP00792,Joe Bauer,Senior Salesperson
794,SP00794,William Dalton,Salesperson
798,SP00798,Jill Simpson,Sales Associate
799,SP00799,Desiree Yates,Salesperson
801,SP00801,Ashley Tucker,Senior Salesperson
803,SP00803,Nicole Spence,Salesperson
804,SP00804,Erin Ramsey,Salesperson
805,SP00805,Andrea Lee,Senior Salesperson
807,SP00807,Randall Medina,Senior Salesperson
810,SP00810,Ryan Pratt,Sales Associate
811,SP00811,Chris Adams,Salesperson
813,SP00813,Christina King,Manager
814,SP00814,Ashley Lyons,Senior Salesperson
816,SP00816,Michelle Banks,Sales Associate
818,SP00818,Stephanie Aguirre,Senior Salesperson
819,SP00819,Zachary Pacheco,Senior Salesperson
820,SP00820,Erin Turner,Sales Associate
821,SP00821,Eric Foster,Manager
822,SP00822,Steven Rogers,Manager
823,SP00823,Jamie Hinton,Manager
824,SP00824,Kevin Leonard,Senior Salesperson
825,SP00825,Andrew Snow,Salesperson
827,SP00827,Ashley Cannon,Salesperson
828,SP00828,Johnny Jones,Salesperson
829,SP00829,Martha Murray,Senior Salesperson
831,SP00831,Nichole Hill,Manager
832,SP00832,Darrell Vang,Salesperson
834,SP00834,Ryan Cox,Manager
836,SP00836,Christopher Brown,Sales Associate
840,SP00840,Jennifer Lee,Manager
841,SP00841,Debra Wright,Manager
842,SP00842,Brian Hughes,Manager
843,SP00843,Brenda Watson,Sales Associate
845,SP00845,Anthony Reed,Salesperson
846,SP00846,Jesse Riley,Manager
847,SP00847,Michelle Hunt,Manager
848,SP00848,Alexis Hensley,Manager
849,SP00849,Wesley Welch,Senior Salesperson
852,SP00852,Duane Wallace,Manager
853,SP00853,Aaron Mccann,Manager
855,SP00855,Chad Brooks,Salesperson
856,SP00856,Melissa King,Senior Salesperson
857,SP00857,Wendy Ray,Manager
859,SP00859,Dylan Yang,Sales Associate
860,SP00860,Daniel Rogers,Manager
862,SP00862,Andrew Rodriguez,Senior Salesperson
863,SP00863,Nicole Holloway,Manager
866,SP00866,Hayley Ellis,Salesperson
867,SP00867,Daniel Spears,Senior Salesperson
868,SP00868,Ryan Graham,Manager
869,SP00869,Tiffany Webb,Manager
870,SP00870,David Scott,Manager
873,SP00873,Jasmin Cunningham,Senior Salesperson
874,SP00874,Desiree Johnson,Manager
876,SP00876,Deborah Fletcher,Salesperson
877,SP00877,Timothy Smith,Sales Associate
878,SP00878,Melissa Hall,Salesperson
879,SP00879,Timothy Wright,Senior Salesperson
880,SP00880,Jonathan Bates,Manager
882,SP00882,Michael Thomas,Salesperson
883,SP00883,Nathaniel Davis,Sales Associate
884,SP00884,Jesus Sherman,Sales Associate
886,SP00886,Nicholas Montgomery,Sales Associate
887,SP00887,Donald Gregory,Sales Associate
888,SP00888,Scott Johnson,Sales Associate
889,SP00889,Patrick Green,Manager
890,SP00890,Walter Johnson,Senior Salesperson
891,SP00891,Joshua Williams,Salesperson
893,SP00893,Alan Mendez,Manager
894,SP00894,Anthony Rice,Manager
895,SP00895,Antonio Hoffman,Salesperson
896,SP00896,Michael Davis,Manager
898,SP00898,Natasha Burns,Sales Associate
899,SP00899,Kayla Nichols,Manager
901,SP00901,Morgan Chang,Manager
902,SP00902,Jon Kane,Salesperson
903,SP00903,Eric Mccarty,Sales Associate
908,SP00908,Tiffany Sanchez,Sales Associate
909,SP00909,Daniel Foster,Manager
911,SP00911,Bryce Walker,Manager
913,SP00913,Ellen Ingram,Salesperson
914,SP00914,Sabrina Hart,Senior Salesperson
916,SP00916,Wesley Lucas,Salesperson
918,SP00918,Robert Dudley,Sales Associate
919,SP00919,Robert Haley,Salesperson
921,SP00921,April Lewis,Sales Associate
923,SP00923,Logan Gordon,Manager
925,SP00925,Kathleen Henderson,Manager
927,SP00927,Shelly Phillips,Sales Associate
929,SP00929,Gregg Cruz,Manager
930,SP00930,Tina Beck,Manager
931,SP00931,John Berry,Manager
933,SP00933,Karen Pace,Manager
934,SP00934,Kathryn Lloyd,Senior Salesperson
935,SP00935,Frank Copeland,Senior Salesperson
937,SP00937,Sarah Young,Salesperson
938,SP00938,Rachel White,Manager
939,SP00939,April Thomas,Manager
940,SP00940,Paul Barton,Senior Salesperson
942,SP00942,Jerry Clay,Manager
943,SP00943,Denise Gibson,Manager
944,SP00944,Billy Ramirez,Senior Salesperson
946,SP00946,Allison Morris,Salesperson
947,SP00947,Michelle Baker,Manager
948,SP00948,Michael Weiss,Salesperson
950,SP00950,John Henderson,Senior Salesperson
951,SP00951,Kimberly Smith,Salesperson
954,SP00954,Brandon Flores,Manager
957,SP00957,Cassandra Nguyen,Manager
960,SP00960,Todd Johnson,Salesperson
961,SP00961,Stephanie Gilbert,Sales Associate
963,SP00963,Thomas Bell,Salesperson
964,SP00964,Sandra Wilson,Sales Associate
965,SP00965,Stacey Lam,Salesperson
969,SP00969,Cynthia Wood,Sales Associate
970,SP00970,Michael King,Manager
974,SP00974,Rodney Sandoval,Salesperson
977,SP00977,Angel Mcguire,Sales Associate
978,SP00978,Jerry Gonzalez,Manager
981,SP00981,Leslie Miller,Senior Salesperson
982,SP00982,Roberto Navarro,Manager
984,SP00984,Randall Edwards,Sales Associate
985,SP00985,Bradley Klein,Sales Associate
986,SP00986,Joel Nguyen,Salesperson
989,SP00989,Darrell Burgess,Salesperson
990,SP00990,Jonathan Miller,Manager
994,SP00994,Jason Bennett,Senior Salesperson
996,SP00996,Linda Mayer,Manager
997,SP00997,Christopher Reynolds,Manager
1000,SP01000,Bianca Case,Salesperson
1002,SP01002,Bryan Parker,Salesperson
1003,SP01003,Rebecca Wilson,Salesperson
1005,SP01005,Laura Fischer,Senior Salesperson
1006,SP01006,Jeremy Russell,Manager
1007,SP01007,Tammy Johnson,Salesperson
1009,SP01009,Lisa Mercado,Manager
1010,SP01010,Paul Bowman,Senior Salesperson
1012,SP01012,Scott Harris,Manager
1015,SP01015,Annette Gallegos,Salesperson
1016,SP01016,Christina Nguyen,Manager
1020,SP01020,Jane Price,Salesperson
1021,SP01021,Andrew Tran,Sales Associate
1024,SP01024,Regina Hicks,Salesperson
1025,SP01025,Timothy Jackson,Sales Associate
1026,SP01026,Lori Medina,Manager
1027,SP01027,Amber Edwards,Sales Associate
1030,SP01030,Cynthia Ramirez,Senior Salesperson
1033,SP01033,Kevin Hudson,Salesperson
1034,SP01034,Jason Arnold,Sales Associate
1035,SP01035,Joshua Brown,Manager
1036,SP01036,Andrew Armstrong,Salesperson
1038,SP01038,Aaron Harrell,Senior Salesperson
1041,SP01041,Bradley Lee,Manager
1044,SP01044,William Snyder,Salesperson
1045,SP01045,Karl Bass,Sales Associate
1047,SP01047,Roger Miller,Manager
1048,SP01048,Daniel Vargas,Manager
1049,SP01049,Lauren Montgomery,Manager
1051,SP01051,Frank Berry,Manager
1053,SP01053,Brenda Roberts,Manager
1054,SP01054,Steven Moore,Senior Salesperson
1055,SP01055,Jacob Santana,Senior Salesperson
1056,SP01056,Mark Fuller,Manager
1057,SP01057,Victor Valdez,Manager
1058,SP01058,Colton Ray,Manager
1059,SP01059,Christopher Brooks,Sales Associate
1060,SP01060,Heather Jones,Manager
1061,SP01061,Margaret Griffith,Manager
1062,SP01062,Brenda Warren,Senior Salesperson
